bp,name
GO:0003341,cilium movement
GO:0003400,regulation of COPII vesicle coating
GO:0005975,carbohydrate metabolic process
GO:0005976,polysaccharide metabolic process
GO:0005977,glycogen metabolic process
GO:0005978,glycogen biosynthetic process
GO:0005980,glycogen catabolic process
GO:0005982,starch metabolic process
GO:0005983,starch catabolic process
GO:0005984,disaccharide metabolic process
GO:0005985,sucrose metabolic process
GO:0005986,sucrose biosynthetic process
GO:0005987,sucrose catabolic process
GO:0005988,lactose metabolic process
GO:0005990,lactose catabolic process
GO:0005991,trehalose metabolic process
GO:0005992,trehalose biosynthetic process
GO:0005993,trehalose catabolic process
GO:0005996,monosaccharide metabolic process
GO:0006000,fructose metabolic process
GO:0006002,fructose 6-phosphate metabolic process
GO:0006003,"fructose 2,6-bisphosphate metabolic process"
GO:0006004,fucose metabolic process
GO:0006006,glucose metabolic process
GO:0006007,glucose catabolic process
GO:0006011,UDP-glucose metabolic process
GO:0006012,galactose metabolic process
GO:0006013,mannose metabolic process
GO:0006014,D-ribose metabolic process
GO:0006015,5-phosphoribose 1-diphosphate biosynthetic process
GO:0006020,inositol metabolic process
GO:0006021,inositol biosynthetic process
GO:0006022,aminoglycan metabolic process
GO:0006023,aminoglycan biosynthetic process
GO:0006024,glycosaminoglycan biosynthetic process
GO:0006026,aminoglycan catabolic process
GO:0006029,proteoglycan metabolic process
GO:0006030,chitin metabolic process
GO:0006032,chitin catabolic process
GO:0006040,amino sugar metabolic process
GO:0006044,N-acetylglucosamine metabolic process
GO:0006047,UDP-N-acetylglucosamine metabolic process
GO:0006048,UDP-N-acetylglucosamine biosynthetic process
GO:0006056,mannoprotein metabolic process
GO:0006057,mannoprotein biosynthetic process
GO:0006063,uronic acid metabolic process
GO:0006065,UDP-glucuronate biosynthetic process
GO:0006066,alcohol metabolic process
GO:0006067,ethanol metabolic process
GO:0006069,ethanol oxidation
GO:0006071,glycerol metabolic process
GO:0006072,glycerol-3-phosphate metabolic process
GO:0006073,cellular glucan metabolic process
GO:0006074,(1->3)-beta-D-glucan metabolic process
GO:0006075,(1->3)-beta-D-glucan biosynthetic process
GO:0006081,cellular aldehyde metabolic process
GO:0006082,organic acid metabolic process
GO:0006083,acetate metabolic process
GO:0006084,acetyl-CoA metabolic process
GO:0006085,acetyl-CoA biosynthetic process
GO:0006086,acetyl-CoA biosynthetic process from pyruvate
GO:0006089,lactate metabolic process
GO:0006090,pyruvate metabolic process
GO:0006091,generation of precursor metabolites and energy
GO:0006094,gluconeogenesis
GO:0006096,glycolytic process
GO:0006097,glyoxylate cycle
GO:0006098,pentose-phosphate shunt
GO:0006099,tricarboxylic acid cycle
GO:0006101,citrate metabolic process
GO:0006102,isocitrate metabolic process
GO:0006104,succinyl-CoA metabolic process
GO:0006106,fumarate metabolic process
GO:0006107,oxaloacetate metabolic process
GO:0006108,malate metabolic process
GO:0006109,regulation of carbohydrate metabolic process
GO:0006111,regulation of gluconeogenesis
GO:0006112,energy reserve metabolic process
GO:0006114,glycerol biosynthetic process
GO:0006116,NADH oxidation
GO:0006119,oxidative phosphorylation
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone"
GO:0006121,"mitochondrial electron transport, succinate to ubiquinone"
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen"
GO:0006139,nucleobase-containing compound metabolic process
GO:0006144,purine nucleobase metabolic process
GO:0006145,purine nucleobase catabolic process
GO:0006152,purine nucleoside catabolic process
GO:0006154,adenosine catabolic process
GO:0006163,purine nucleotide metabolic process
GO:0006164,purine nucleotide biosynthetic process
GO:0006165,nucleoside diphosphate phosphorylation
GO:0006166,purine ribonucleoside salvage
GO:0006167,AMP biosynthetic process
GO:0006168,adenine salvage
GO:0006177,GMP biosynthetic process
GO:0006183,GTP biosynthetic process
GO:0006188,IMP biosynthetic process
GO:0006189,'de novo' IMP biosynthetic process
GO:0006195,purine nucleotide catabolic process
GO:0006203,dGTP catabolic process
GO:0006206,pyrimidine nucleobase metabolic process
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process
GO:0006208,pyrimidine nucleobase catabolic process
GO:0006210,thymine catabolic process
GO:0006212,uracil catabolic process
GO:0006213,pyrimidine nucleoside metabolic process
GO:0006216,cytidine catabolic process
GO:0006220,pyrimidine nucleotide metabolic process
GO:0006221,pyrimidine nucleotide biosynthetic process
GO:0006222,UMP biosynthetic process
GO:0006223,uracil salvage
GO:0006225,UDP biosynthetic process
GO:0006226,dUMP biosynthetic process
GO:0006227,dUDP biosynthetic process
GO:0006228,UTP biosynthetic process
GO:0006231,dTMP biosynthetic process
GO:0006233,dTDP biosynthetic process
GO:0006235,dTTP biosynthetic process
GO:0006241,CTP biosynthetic process
GO:0006244,pyrimidine nucleotide catabolic process
GO:0006253,dCTP catabolic process
GO:0006259,DNA metabolic process
GO:0006260,DNA replication
GO:0006261,DNA-templated DNA replication
GO:0006264,mitochondrial DNA replication
GO:0006265,DNA topological change
GO:0006266,DNA ligation
GO:0006268,DNA unwinding involved in DNA replication
GO:0006269,"DNA replication, synthesis of RNA primer"
GO:0006270,DNA replication initiation
GO:0006271,DNA strand elongation involved in DNA replication
GO:0006272,leading strand elongation
GO:0006273,lagging strand elongation
GO:0006274,DNA replication termination
GO:0006275,regulation of DNA replication
GO:0006278,RNA-templated DNA biosynthetic process
GO:0006281,DNA repair
GO:0006282,regulation of DNA repair
GO:0006283,transcription-coupled nucleotide-excision repair
GO:0006284,base-excision repair
GO:0006285,"base-excision repair, AP site formation"
GO:0006287,"base-excision repair, gap-filling"
GO:0006289,nucleotide-excision repair
GO:0006290,pyrimidine dimer repair
GO:0006294,"nucleotide-excision repair, preincision complex assembly"
GO:0006296,"nucleotide-excision repair, DNA incision, 5'-to lesion"
GO:0006297,"nucleotide-excision repair, DNA gap filling"
GO:0006298,mismatch repair
GO:0006301,postreplication repair
GO:0006302,double-strand break repair
GO:0006303,double-strand break repair via nonhomologous end joining
GO:0006304,DNA modification
GO:0006305,DNA alkylation
GO:0006306,DNA methylation
GO:0006307,DNA dealkylation involved in DNA repair
GO:0006308,DNA catabolic process
GO:0006310,DNA recombination
GO:0006312,mitotic recombination
GO:0006314,intron homing
GO:0006315,homing of group II introns
GO:0006325,chromatin organization
GO:0006334,nucleosome assembly
GO:0006335,DNA replication-dependent chromatin assembly
GO:0006338,chromatin remodeling
GO:0006346,DNA methylation-dependent heterochromatin formation
GO:0006349,regulation of gene expression by genomic imprinting
GO:0006351,DNA-templated transcription
GO:0006352,DNA-templated transcription initiation
GO:0006353,DNA-templated transcription termination
GO:0006354,DNA-templated transcription elongation
GO:0006355,regulation of DNA-templated transcription
GO:0006356,regulation of transcription by RNA polymerase I
GO:0006357,regulation of transcription by RNA polymerase II
GO:0006359,regulation of transcription by RNA polymerase III
GO:0006360,transcription by RNA polymerase I
GO:0006361,transcription initiation at RNA polymerase I promoter
GO:0006362,transcription elongation by RNA polymerase I
GO:0006363,termination of RNA polymerase I transcription
GO:0006364,rRNA processing
GO:0006366,transcription by RNA polymerase II
GO:0006367,transcription initiation at RNA polymerase II promoter
GO:0006368,transcription elongation by RNA polymerase II promoter
GO:0006369,termination of RNA polymerase II transcription
GO:0006370,7-methylguanosine mRNA capping
GO:0006376,mRNA splice site selection
GO:0006378,mRNA polyadenylation
GO:0006379,mRNA cleavage
GO:0006382,adenosine to inosine editing
GO:0006383,transcription by RNA polymerase III
GO:0006384,transcription initiation at RNA polymerase III promoter
GO:0006386,termination of RNA polymerase III transcription
GO:0006388,"tRNA splicing, via endonucleolytic cleavage and ligation"
GO:0006390,mitochondrial transcription
GO:0006396,RNA processing
GO:0006397,mRNA processing
GO:0006398,mRNA 3'-end processing by stem-loop binding and cleavage
GO:0006399,tRNA metabolic process
GO:0006400,tRNA modification
GO:0006401,RNA catabolic process
GO:0006402,mRNA catabolic process
GO:0006403,RNA localization
GO:0006404,RNA import into nucleus
GO:0006405,RNA export from nucleus
GO:0006406,mRNA export from nucleus
GO:0006408,snRNA export from nucleus
GO:0006409,tRNA export from nucleus
GO:0006412,translation
GO:0006413,translational initiation
GO:0006414,translational elongation
GO:0006415,translational termination
GO:0006417,regulation of translation
GO:0006418,tRNA aminoacylation for protein translation
GO:0006419,alanyl-tRNA aminoacylation
GO:0006420,arginyl-tRNA aminoacylation
GO:0006421,asparaginyl-tRNA aminoacylation
GO:0006422,aspartyl-tRNA aminoacylation
GO:0006423,cysteinyl-tRNA aminoacylation
GO:0006424,glutamyl-tRNA aminoacylation
GO:0006425,glutaminyl-tRNA aminoacylation
GO:0006426,glycyl-tRNA aminoacylation
GO:0006427,histidyl-tRNA aminoacylation
GO:0006428,isoleucyl-tRNA aminoacylation
GO:0006429,leucyl-tRNA aminoacylation
GO:0006430,lysyl-tRNA aminoacylation
GO:0006431,methionyl-tRNA aminoacylation
GO:0006432,phenylalanyl-tRNA aminoacylation
GO:0006433,prolyl-tRNA aminoacylation
GO:0006434,seryl-tRNA aminoacylation
GO:0006435,threonyl-tRNA aminoacylation
GO:0006436,tryptophanyl-tRNA aminoacylation
GO:0006437,tyrosyl-tRNA aminoacylation
GO:0006438,valyl-tRNA aminoacylation
GO:0006446,regulation of translational initiation
GO:0006448,regulation of translational elongation
GO:0006449,regulation of translational termination
GO:0006450,regulation of translational fidelity
GO:0006452,translational frameshifting
GO:0006457,protein folding
GO:0006458,'de novo' protein folding
GO:0006465,signal peptide processing
GO:0006468,protein phosphorylation
GO:0006469,negative regulation of protein kinase activity
GO:0006470,protein dephosphorylation
GO:0006471,protein ADP-ribosylation
GO:0006473,protein acetylation
GO:0006474,N-terminal protein amino acid acetylation
GO:0006475,internal protein amino acid acetylation
GO:0006476,protein deacetylation
GO:0006479,protein methylation
GO:0006480,N-terminal protein amino acid methylation
GO:0006481,C-terminal protein methylation
GO:0006482,protein demethylation
GO:0006486,protein glycosylation
GO:0006487,protein N-linked glycosylation
GO:0006488,dolichol-linked oligosaccharide biosynthetic process
GO:0006490,oligosaccharide-lipid intermediate biosynthetic process
GO:0006491,N-glycan processing
GO:0006493,protein O-linked glycosylation
GO:0006497,protein lipidation
GO:0006498,N-terminal protein lipidation
GO:0006499,N-terminal protein myristoylation
GO:0006501,C-terminal protein lipidation
GO:0006505,GPI anchor metabolic process
GO:0006506,GPI anchor biosynthetic process
GO:0006508,proteolysis
GO:0006511,ubiquitin-dependent protein catabolic process
GO:0006513,protein monoubiquitination
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins
GO:0006516,glycoprotein catabolic process
GO:0006517,protein deglycosylation
GO:0006518,peptide metabolic process
GO:0006520,cellular amino acid metabolic process
GO:0006522,alanine metabolic process
GO:0006524,alanine catabolic process
GO:0006525,arginine metabolic process
GO:0006526,arginine biosynthetic process
GO:0006527,arginine catabolic process
GO:0006528,asparagine metabolic process
GO:0006529,asparagine biosynthetic process
GO:0006531,aspartate metabolic process
GO:0006534,cysteine metabolic process
GO:0006535,cysteine biosynthetic process from serine
GO:0006536,glutamate metabolic process
GO:0006537,glutamate biosynthetic process
GO:0006538,glutamate catabolic process
GO:0006541,glutamine metabolic process
GO:0006542,glutamine biosynthetic process
GO:0006544,glycine metabolic process
GO:0006545,glycine biosynthetic process
GO:0006546,glycine catabolic process
GO:0006547,histidine metabolic process
GO:0006549,isoleucine metabolic process
GO:0006551,leucine metabolic process
GO:0006552,leucine catabolic process
GO:0006553,lysine metabolic process
GO:0006554,lysine catabolic process
GO:0006555,methionine metabolic process
GO:0006556,S-adenosylmethionine biosynthetic process
GO:0006558,L-phenylalanine metabolic process
GO:0006559,L-phenylalanine catabolic process
GO:0006560,proline metabolic process
GO:0006561,proline biosynthetic process
GO:0006562,proline catabolic process
GO:0006563,L-serine metabolic process
GO:0006564,L-serine biosynthetic process
GO:0006565,L-serine catabolic process
GO:0006566,threonine metabolic process
GO:0006567,threonine catabolic process
GO:0006568,tryptophan metabolic process
GO:0006569,tryptophan catabolic process
GO:0006570,tyrosine metabolic process
GO:0006571,tyrosine biosynthetic process
GO:0006572,tyrosine catabolic process
GO:0006573,valine metabolic process
GO:0006574,valine catabolic process
GO:0006575,cellular modified amino acid metabolic process
GO:0006576,cellular biogenic amine metabolic process
GO:0006577,amino-acid betaine metabolic process
GO:0006578,amino-acid betaine biosynthetic process
GO:0006586,indolalkylamine metabolic process
GO:0006591,ornithine metabolic process
GO:0006592,ornithine biosynthetic process
GO:0006595,polyamine metabolic process
GO:0006596,polyamine biosynthetic process
GO:0006597,spermine biosynthetic process
GO:0006598,polyamine catabolic process
GO:0006605,protein targeting
GO:0006606,protein import into nucleus
GO:0006607,NLS-bearing protein import into nucleus
GO:0006611,protein export from nucleus
GO:0006612,protein targeting to membrane
GO:0006613,cotranslational protein targeting to membrane
GO:0006614,SRP-dependent cotranslational protein targeting to membrane
GO:0006616,"SRP-dependent cotranslational protein targeting to membrane, translocation"
GO:0006617,"SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
GO:0006620,post-translational protein targeting to endoplasmic reticulum membrane
GO:0006621,protein retention in ER lumen
GO:0006623,protein targeting to vacuole
GO:0006624,vacuolar protein processing
GO:0006625,protein targeting to peroxisome
GO:0006626,protein targeting to mitochondrion
GO:0006627,protein processing involved in protein targeting to mitochondrion
GO:0006629,lipid metabolic process
GO:0006631,fatty acid metabolic process
GO:0006633,fatty acid biosynthetic process
GO:0006635,fatty acid beta-oxidation
GO:0006636,unsaturated fatty acid biosynthetic process
GO:0006637,acyl-CoA metabolic process
GO:0006638,neutral lipid metabolic process
GO:0006639,acylglycerol metabolic process
GO:0006641,triglyceride metabolic process
GO:0006643,membrane lipid metabolic process
GO:0006644,phospholipid metabolic process
GO:0006646,phosphatidylethanolamine biosynthetic process
GO:0006650,glycerophospholipid metabolic process
GO:0006654,phosphatidic acid biosynthetic process
GO:0006655,phosphatidylglycerol biosynthetic process
GO:0006656,phosphatidylcholine biosynthetic process
GO:0006657,CDP-choline pathway
GO:0006658,phosphatidylserine metabolic process
GO:0006659,phosphatidylserine biosynthetic process
GO:0006661,phosphatidylinositol biosynthetic process
GO:0006662,glycerol ether metabolic process
GO:0006664,glycolipid metabolic process
GO:0006665,sphingolipid metabolic process
GO:0006666,3-keto-sphinganine metabolic process
GO:0006670,sphingosine metabolic process
GO:0006672,ceramide metabolic process
GO:0006677,glycosylceramide metabolic process
GO:0006678,glucosylceramide metabolic process
GO:0006679,glucosylceramide biosynthetic process
GO:0006680,glucosylceramide catabolic process
GO:0006687,glycosphingolipid metabolic process
GO:0006688,glycosphingolipid biosynthetic process
GO:0006690,icosanoid metabolic process
GO:0006691,leukotriene metabolic process
GO:0006692,prostanoid metabolic process
GO:0006693,prostaglandin metabolic process
GO:0006694,steroid biosynthetic process
GO:0006696,ergosterol biosynthetic process
GO:0006706,steroid catabolic process
GO:0006714,sesquiterpenoid metabolic process
GO:0006720,isoprenoid metabolic process
GO:0006721,terpenoid metabolic process
GO:0006722,triterpenoid metabolic process
GO:0006725,cellular aromatic compound metabolic process
GO:0006729,tetrahydrobiopterin biosynthetic process
GO:0006730,one-carbon metabolic process
GO:0006734,NADH metabolic process
GO:0006739,NADP metabolic process
GO:0006740,NADPH regeneration
GO:0006741,NADP biosynthetic process
GO:0006742,NADP catabolic process
GO:0006743,ubiquinone metabolic process
GO:0006744,ubiquinone biosynthetic process
GO:0006747,FAD biosynthetic process
GO:0006749,glutathione metabolic process
GO:0006750,glutathione biosynthetic process
GO:0006751,glutathione catabolic process
GO:0006753,nucleoside phosphate metabolic process
GO:0006754,ATP biosynthetic process
GO:0006757,ATP generation from ADP
GO:0006760,folic acid-containing compound metabolic process
GO:0006761,dihydrofolate biosynthetic process
GO:0006766,vitamin metabolic process
GO:0006767,water-soluble vitamin metabolic process
GO:0006768,biotin metabolic process
GO:0006771,riboflavin metabolic process
GO:0006772,thiamine metabolic process
GO:0006775,fat-soluble vitamin metabolic process
GO:0006777,Mo-molybdopterin cofactor biosynthetic process
GO:0006778,porphyrin-containing compound metabolic process
GO:0006779,porphyrin-containing compound biosynthetic process
GO:0006780,uroporphyrinogen III biosynthetic process
GO:0006782,protoporphyrinogen IX biosynthetic process
GO:0006783,heme biosynthetic process
GO:0006784,heme A biosynthetic process
GO:0006787,porphyrin-containing compound catabolic process
GO:0006788,heme oxidation
GO:0006790,sulfur compound metabolic process
GO:0006793,phosphorus metabolic process
GO:0006796,phosphate-containing compound metabolic process
GO:0006801,superoxide metabolic process
GO:0006805,xenobiotic metabolic process
GO:0006807,nitrogen compound metabolic process
GO:0006808,regulation of nitrogen utilization
GO:0006809,nitric oxide biosynthetic process
GO:0006810,transport
GO:0006811,ion transport
GO:0006812,cation transport
GO:0006813,potassium ion transport
GO:0006814,sodium ion transport
GO:0006816,calcium ion transport
GO:0006817,phosphate ion transport
GO:0006820,anion transport
GO:0006821,chloride transport
GO:0006825,copper ion transport
GO:0006826,iron ion transport
GO:0006828,manganese ion transport
GO:0006829,zinc ion transport
GO:0006833,water transport
GO:0006835,dicarboxylic acid transport
GO:0006839,mitochondrial transport
GO:0006842,tricarboxylic acid transport
GO:0006848,pyruvate transport
GO:0006850,mitochondrial pyruvate transmembrane transport
GO:0006851,mitochondrial calcium ion transmembrane transport
GO:0006857,oligopeptide transport
GO:0006862,nucleotide transport
GO:0006863,purine nucleobase transport
GO:0006865,amino acid transport
GO:0006869,lipid transport
GO:0006873,cellular ion homeostasis
GO:0006874,cellular calcium ion homeostasis
GO:0006875,cellular metal ion homeostasis
GO:0006878,cellular copper ion homeostasis
GO:0006879,cellular iron ion homeostasis
GO:0006880,intracellular sequestering of iron ion
GO:0006882,cellular zinc ion homeostasis
GO:0006884,cell volume homeostasis
GO:0006885,regulation of pH
GO:0006886,intracellular protein transport
GO:0006887,exocytosis
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport
