gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chromosome_name,gene_name,start_position,end_position,strand,transcript_biotype,transcript_length,description,sig
GSBRNA2T00001263001,49.0728375710013,3.59176782624564,0.754731668550352,4.75899975569399,1.9455467120363e-06,2.96839429433472e-05,LK031992,BnaC08g10290D,626916,629327,1,protein_coding,875,CASP-like protein [Source:UniProtKB/TrEMBL;Acc:A0A078F3J7],yes
GSBRNA2T00001321001,549.02423959807,-2.34377155406014,0.188226856199298,-12.4518445528225,1.36650034730944e-35,3.1573922229367e-33,LK031993,BnaA02g05290D,106971,112541,1,protein_coding,3666,BnaA02g05290D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FB79],yes
GSBRNA2T00001330001,111.341500161212,1.18648580986825,0.364347534099376,3.25646724301593,0.0011280794614029,0.0078097513410643,LK031993,BnaA02g05360D,147614,148705,-1,protein_coding,1006,BnaA02g05360D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F3P1],yes
GSBRNA2T00001337001,2348.04689131367,-1.30586219632746,0.135276117546246,-9.65330924640879,4.75945299662881e-22,4.91238364367784e-20,LK031993,BnaA02g05410D,184591,187256,1,protein_coding,1696,BnaA02g05410D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F3P6],yes
GSBRNA2T00001369001,378.232535799835,2.8691202084632,0.246358439975695,11.6461210289619,2.40142946322087e-31,4.57764986959407e-29,LK031993,BnaA02g05670D,305083,307034,-1,protein_coding,1026,BnaA02g05670D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F6Y2],yes
GSBRNA2T00001383001,189.919561101919,2.01901802323159,0.29530487676456,6.83706292070926,8.08332447438953e-12,2.96140966734707e-10,LK031993,BnaA02g05780D,363508,365163,1,protein_coding,1635,Arogenate dehydratase [Source:UniProtKB/TrEMBL;Acc:A0A078F7T2],yes
GSBRNA2T00001384001,54.9399148808393,4.6227466641185,0.691660252840448,6.68355112952381,2.3322043578912397e-11,8.08757712870734e-10,LK031993,BnaA02g05790D,378511,379705,1,protein_coding,680,BnaA02g05790D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FBB2],yes
GSBRNA2T00001385001,89.3045770567843,-5.25067792811743,0.570621483422068,-9.20168286799971,3.52387008902681e-20,3.09729901384073e-18,LK031993,BnaA02g05800D,381425,384165,-1,protein_coding,1704,BnaA02g05800D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F7Z4],yes
GSBRNA2T00001396001,106.356331088667,1.49039831364398,0.373450918936732,3.99088136638506,6.58282043005364e-05,0.0006784008505031,LK031993,BnaA02g05900D,414679,419483,-1,protein_coding,1937,BnaA02g05900D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F804],yes
GSBRNA2T00001398001,7.46741441960938,-6.5221662390281,2.16664196531487,-3.010264890757,0.0026101993994641,0.0157098720441949,LK031993,BnaA02g05920D,431213,432403,-1,protein_coding,1191,BnaA02g05920D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F704],yes
GSBRNA2T00001429001,172.722950080844,2.10970154021633,0.40249017515419,5.24162245552486,1.59170789965264e-07,3.0237493046064e-06,LK031993,BnaA02g06160D,580990,585269,1,protein_coding,2772,BnaA02g06160D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F3X3],yes
GSBRNA2T00001496001,466.33936978841,1.45779954377939,0.181364185205524,8.03796814750057,9.13403650486472e-16,5.36253217286086e-14,LK031993,BnaA02g06680D,911468,912811,-1,protein_coding,1198,Actin-depolymerizing factor 1 [Source:Projected from Arabidopsis thaliana (AT3G46010) UniProtKB/Swiss-Prot;Acc:Q39250],yes
GSBRNA2T00001530001,55.4744200618419,3.31537277774724,0.699588860404384,4.73903025818743,2.14743439406046e-06,3.25201962768853e-05,LK031994,BnaC03g62970D,155995,161178,1,protein_coding,1687,BnaC03g62970D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F837],yes
GSBRNA2T00001577001,6.24744778436519,5.98252306921744,2.29876938183035,2.60248945218418,0.0092549662053168,0.0435751951749766,LK031994,BnaC03g63170D,381751,385490,-1,protein_coding,2213,Pectin acetylesterase [Source:UniProtKB/TrEMBL;Acc:A0A078F857],yes
GSBRNA2T00001588001,14.4844619971131,7.19331066632489,1.75533076961266,4.09798015898292,4.16770995016761e-05,0.0004548596686428,LK031994,BnaC03g63200D,459690,466727,-1,protein_coding,573,BnaC03g63200D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F467],yes
GSBRNA2T00001657001,161.826890434699,-1.03883939075011,0.302388452884106,-3.43544662781238,0.000591577977595,0.0045191815974101,LK031994,BnaC03g63590D,927144,930772,-1,protein_coding,2401,BnaC03g63590D protein [Source:UniProtKB/TrEMBL;Acc:A0A078F8G7],yes
GSBRNA2T00001740001,140.246873422967,1.2151581694535,0.323430585462284,3.75709108560854,0.0001718999402514,0.0015678415752687,LK032075,BnaC01g26840D,605444,607469,1,protein_coding,1640,BnaC01g26840D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FSS7],yes
GSBRNA2T00001821001,1831.17989752432,3.34205453375305,0.18680589192949,17.8905199361405,1.39797844158591e-71,1.37540785416611e-68,LK032076,BnaA06g34320D,102036,102941,-1,protein_coding,587,BnaA06g34320D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FZ73],yes
GSBRNA2T00001824001,135.392202926092,3.44008550618165,0.405583441380659,8.48181941173721,2.2169948250155302e-17,1.53850361013791e-15,LK032076,BnaA06g34340D,124248,128852,-1,protein_coding,2470,BnaA06g34340D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FSW9],yes
GSBRNA2T00001825001,303.614951483465,-1.01638876545683,0.2498684528162,-4.06769543734466,4.74803822439931e-05,0.0005108034985011,LK032076,BnaA06g34350D,133708,135446,-1,protein_coding,1402,BnaA06g34350D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FX80],yes
GSBRNA2T00001858001,387.407146080399,-1.5284145397888,0.207918062919805,-7.35104260940676,1.9666670923996199e-13,8.89286330387578e-12,LK032076,BnaA06g34630D,299225,303487,1,protein_coding,1971,BnaA06g34630D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FWZ8],yes
GSBRNA2T00001863001,32.9695254619485,-2.34460146608383,0.894382293747123,-2.6214757184658,0.0087549998766805,0.0416963830425103,LK032076,BnaA06g34680D,327358,327679,-1,protein_coding,165,BnaA06g34680D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FX01],yes
GSBRNA2T00001874001,560.885116006334,1.41008043071014,0.196207601046485,7.18667586367394,6.63877632232355e-13,2.8279240005964698e-11,LK032076,BnaA06g34780D,410403,411480,-1,protein_coding,973,BnaA06g34780D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FX05],yes
GSBRNA2T00001876001,8.88723903727795,-6.77372711358961,2.40219769489178,-2.81980418514004,0.0048052962728923,0.0257890434057856,LK032076,BnaA06g34800D,419507,420070,1,protein_coding,414,BnaA06g34800D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FXB8],yes
GSBRNA2T00001912001,352.858826996982,1.15595174169906,0.215857041822865,5.35517271958008,8.54747286162511e-08,1.7139621863454e-06,LK032076,BnaA06g35110D,614841,617030,1,protein_coding,1662,BnaA06g35110D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FY33],yes
GSBRNA2T00001924001,481.653002424657,-1.02617079330038,0.192189358873225,-5.33937362253901,9.32682576253509e-08,1.8562056922965e-06,LK032076,BnaA06g35200D,653182,657091,-1,protein_coding,3290,BnaA06g35200D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FXE7],yes
GSBRNA2T00001935001,42.9308090576319,1.79811897061739,0.663372003989786,2.710574096891,0.0067166839378929,0.0338129077764739,LK032076,BnaA06g35290D,686364,688805,1,protein_coding,1449,BnaA06g35290D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FT57],yes
GSBRNA2T00001949001,8.66711019402417,6.45428292428161,2.03886021265676,3.16563287871084,0.0015474596434092,0.0101498377191745,LK032076,BnaA06g35430D,727753,729256,1,protein_coding,759,BnaA06g35430D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FX47],yes
GSBRNA2T00001988001,169.249790697344,1.05403714764067,0.407915542711089,2.58395926920392,0.0097673328393629,0.0455328647969661,LK032077,BnaC08g21570D,324586,326927,-1,protein_coding,1587,BnaC08g21570D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FX65],yes
GSBRNA2T00002000001,72.5863032311791,3.29402207366386,0.615721296507247,5.34985892537679,8.80228211147845e-08,1.76100494102353e-06,LK032077,BnaC08g21640D,380662,381327,1,protein_coding,666,BnaC08g21640D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FXJ4],yes
GSBRNA2T00002004001,392.520188460424,1.24253447054155,0.220128291044542,5.64459236314213,1.65573075429421e-08,3.77280240123992e-07,LK032077,BnaC08g21680D,385747,386775,-1,protein_coding,1029,BnaC08g21680D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FT97],yes
GSBRNA2T00002013001,6.93390379305731,6.12948206996668,2.2948718230706,2.6709474613555,0.0075637484547487,0.0370914938492819,LK032077,BnaC08g21740D,447967,449620,1,protein_coding,917,BnaC08g21740D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FXK3],yes
GSBRNA2T00002167001,1430.33477377064,-1.34222529953548,0.389588446352643,-3.44523897487591,0.0005705547249643,0.0043843874613375,LK032078,BnaC08g04570D,730360,731098,1,protein_coding,488,BnaA08g03880D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FZP3],yes
GSBRNA2T00002169001,433.352771234337,2.12893954305517,0.195322146142381,10.8996321466961,1.15724186240573e-27,1.7516277013619602e-25,LK032079,BnaC04g03740D,2548,7211,-1,protein_coding,1676,BnaC04g03740D protein [Source:UniProtKB/TrEMBL;Acc:A0A078FTH4],yes
