"id","name"
"bna00540","Lipopolysaccharide biosynthesis"
"bna00541","O-Antigen nucleotide sugar biosynthesis"
"bna00542","O-Antigen repeat unit biosynthesis"
"bna00550","Peptidoglycan biosynthesis"
"bna00552","Teichoic acid biosynthesis"
"bna00561","Glycerolipid metabolism"
"bna00562","Inositol phosphate metabolism"
"bna00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"bna00564","Glycerophospholipid metabolism"
"bna00565","Ether lipid metabolism"
"bna00571","Lipoarabinomannan (LAM) biosynthesis"
"bna00572","Arabinogalactan biosynthesis - Mycobacterium"
"bna00590","Arachidonic acid metabolism"
"bna00591","Linoleic acid metabolism"
"bna00592","alpha-Linolenic acid metabolism"
"bna00600","Sphingolipid metabolism"
"bna00601","Glycosphingolipid biosynthesis - lacto and neolacto series"
"bna00603","Glycosphingolipid biosynthesis - globo and isoglobo series"
"bna00604","Glycosphingolipid biosynthesis - ganglio series"
"bna00620","Pyruvate metabolism"
"bna00621","Dioxin degradation"
"bna00622","Xylene degradation"
"bna00623","Toluene degradation"
"bna00624","Polycyclic aromatic hydrocarbon degradation"
"bna00625","Chloroalkane and chloroalkene degradation"
"bna00626","Naphthalene degradation"
"bna00627","Aminobenzoate degradation"
"bna00630","Glyoxylate and dicarboxylate metabolism"
"bna00633","Nitrotoluene degradation"
"bna00640","Propanoate metabolism"
"bna00642","Ethylbenzene degradation"
"bna00643","Styrene degradation"
"bna00650","Butanoate metabolism"
"bna00660","C5-Branched dibasic acid metabolism"
"bna00670","One carbon pool by folate"
"bna00680","Methane metabolism"
"bna00710","Carbon fixation in photosynthetic organisms"
"bna00720","Carbon fixation pathways in prokaryotes"
"bna00730","Thiamine metabolism"
"bna00740","Riboflavin metabolism"
"bna00750","Vitamin B6 metabolism"
"bna00760","Nicotinate and nicotinamide metabolism"
"bna00770","Pantothenate and CoA biosynthesis"
"bna00780","Biotin metabolism"
"bna00785","Lipoic acid metabolism"
"bna00790","Folate biosynthesis"
"bna00791","Atrazine degradation"
"bna00830","Retinol metabolism"
"bna00860","Porphyrin metabolism"
"bna00900","Terpenoid backbone biosynthesis"
"bna00901","Indole alkaloid biosynthesis"
"bna00902","Monoterpenoid biosynthesis"
"bna00903","Limonene and pinene degradation"
"bna00904","Diterpenoid biosynthesis"
"bna00905","Brassinosteroid biosynthesis"
"bna00906","Carotenoid biosynthesis"
"bna00908","Zeatin biosynthesis"
"bna00909","Sesquiterpenoid and triterpenoid biosynthesis"
"bna00910","Nitrogen metabolism"
"bna00920","Sulfur metabolism"
"bna00930","Caprolactam degradation"
"bna00940","Phenylpropanoid biosynthesis"
"bna00941","Flavonoid biosynthesis"
"bna00942","Anthocyanin biosynthesis"
"bna00943","Isoflavonoid biosynthesis"
"bna00944","Flavone and flavonol biosynthesis"
"bna00945","Stilbenoid, diarylheptanoid and gingerol biosynthesis"
"bna00950","Isoquinoline alkaloid biosynthesis"
"bna00960","Tropane, piperidine and pyridine alkaloid biosynthesis"
"bna00965","Betalain biosynthesis"
"bna00966","Glucosinolate biosynthesis"
"bna00970","Aminoacyl-tRNA biosynthesis"
"bna00980","Metabolism of xenobiotics by cytochrome P450"
"bna00981","Insect hormone biosynthesis"
"bna00982","Drug metabolism - cytochrome P450"
"bna00983","Drug metabolism - other enzymes"
"bna00984","Steroid degradation"
"bna00996","Biosynthesis of various alkaloids"
"bna00997","Biosynthesis of various other secondary metabolites"
"bna00998","Biosynthesis of various antibiotics"
"bna00999","Biosynthesis of various plant secondary metabolites"
"bna01010","Overview of biosynthetic pathways"
"bna01040","Biosynthesis of unsaturated fatty acids"
"bna01051","Biosynthesis of ansamycins"
"bna01052","Type I polyketide structures"
"bna01053","Biosynthesis of siderophore group nonribosomal peptides"
"bna01054","Nonribosomal peptide structures"
"bna01055","Biosynthesis of vancomycin group antibiotics"
"bna01056","Biosynthesis of type II polyketide backbone"
"bna01057","Biosynthesis of type II polyketide products"
"bna01059","Biosynthesis of enediyne antibiotics"
"bna01060","Biosynthesis of plant secondary metabolites"
"bna01061","Biosynthesis of phenylpropanoids"
"bna01062","Biosynthesis of terpenoids and steroids"
"bna01063","Biosynthesis of alkaloids derived from shikimate pathway"
"bna01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"bna01065","Biosynthesis of alkaloids derived from histidine and purine"
"bna01066","Biosynthesis of alkaloids derived from terpenoid and polyketide"
"bna01070","Biosynthesis of plant hormones"
"bna01100","Metabolic pathways"
"bna01110","Biosynthesis of secondary metabolites"
"bna01120","Microbial metabolism in diverse environments"
"bna01200","Carbon metabolism"
"bna01210","2-Oxocarboxylic acid metabolism"
"bna01212","Fatty acid metabolism"
"bna01220","Degradation of aromatic compounds"
"bna01230","Biosynthesis of amino acids"
"bna01232","Nucleotide metabolism"
"bna01240","Biosynthesis of cofactors"
"bna01250","Biosynthesis of nucleotide sugars"
"bna01501","beta-Lactam resistance"
"bna01502","Vancomycin resistance"
"bna01503","Cationic antimicrobial peptide (CAMP) resistance"
"bna01521","EGFR tyrosine kinase inhibitor resistance"
"bna01522","Endocrine resistance"
"bna01523","Antifolate resistance"
"bna01524","Platinum drug resistance"
"bna02010","ABC transporters"
"bna02020","Two-component system"
"bna02024","Quorum sensing"
"bna02025","Biofilm formation - Pseudomonas aeruginosa"
"bna02026","Biofilm formation - Escherichia coli"
"bna02030","Bacterial chemotaxis"
"bna02040","Flagellar assembly"
"bna02060","Phosphotransferase system (PTS)"
"bna03008","Ribosome biogenesis in eukaryotes"
"bna03010","Ribosome"
"bna03013","Nucleocytoplasmic transport"
"bna03015","mRNA surveillance pathway"
"bna03018","RNA degradation"
"bna03020","RNA polymerase"
"bna03022","Basal transcription factors"
"bna03030","DNA replication"
"bna03040","Spliceosome"
"bna03050","Proteasome"
"bna03060","Protein export"
"bna03070","Bacterial secretion system"
"bna03230","Viral genome structure"
"bna03240","Viral replication"
"bna03250","Viral life cycle - HIV-1"
"bna03320","PPAR signaling pathway"
"bna03410","Base excision repair"
"bna03420","Nucleotide excision repair"
"bna03430","Mismatch repair"
"bna03440","Homologous recombination"
"bna03450","Non-homologous end-joining"
"bna03460","Fanconi anemia pathway"
"bna04010","MAPK signaling pathway"
"bna04011","MAPK signaling pathway - yeast"
"bna04012","ErbB signaling pathway"
"bna04013","MAPK signaling pathway - fly"
"bna04014","Ras signaling pathway"
"bna04015","Rap1 signaling pathway"
"bna04016","MAPK signaling pathway - plant"
"bna04020","Calcium signaling pathway"
"bna04022","cGMP-PKG signaling pathway"
"bna04024","cAMP signaling pathway"
"bna04060","Cytokine-cytokine receptor interaction"
"bna04061","Viral protein interaction with cytokine and cytokine receptor"
"bna04062","Chemokine signaling pathway"
"bna04064","NF-kappa B signaling pathway"
"bna04066","HIF-1 signaling pathway"
"bna04068","FoxO signaling pathway"
"bna04070","Phosphatidylinositol signaling system"
"bna04071","Sphingolipid signaling pathway"
"bna04072","Phospholipase D signaling pathway"
"bna04075","Plant hormone signal transduction"
"bna04080","Neuroactive ligand-receptor interaction"
"bna04110","Cell cycle"
"bna04111","Cell cycle - yeast"
"bna04112","Cell cycle - Caulobacter"
"bna04113","Meiosis - yeast"
"bna04114","Oocyte meiosis"
"bna04115","p53 signaling pathway"
"bna04120","Ubiquitin mediated proteolysis"
"bna04122","Sulfur relay system"
"bna04130","SNARE interactions in vesicular transport"
"bna04136","Autophagy - other"
"bna04137","Mitophagy - animal"
"bna04138","Autophagy - yeast"
"bna04139","Mitophagy - yeast"
"bna04140","Autophagy - animal"
"bna04141","Protein processing in endoplasmic reticulum"
"bna04142","Lysosome"
"bna04144","Endocytosis"
"bna04145","Phagosome"
"bna04146","Peroxisome"
"bna04150","mTOR signaling pathway"
"bna04151","PI3K-Akt signaling pathway"
"bna04152","AMPK signaling pathway"
"bna04210","Apoptosis"
"bna04211","Longevity regulating pathway"
"bna04212","Longevity regulating pathway - worm"
"bna04213","Longevity regulating pathway - multiple species"
"bna04214","Apoptosis - fly"
"bna04215","Apoptosis - multiple species"
"bna04216","Ferroptosis"
"bna04217","Necroptosis"
"bna04218","Cellular senescence"
"bna04260","Cardiac muscle contraction"
"bna04261","Adrenergic signaling in cardiomyocytes"
"bna04270","Vascular smooth muscle contraction"
"bna04310","Wnt signaling pathway"
"bna04320","Dorso-ventral axis formation"
"bna04330","Notch signaling pathway"
"bna04340","Hedgehog signaling pathway"
"bna04341","Hedgehog signaling pathway - fly"
"bna04350","TGF-beta signaling pathway"
"bna04360","Axon guidance"
"bna04361","Axon regeneration"
"bna04370","VEGF signaling pathway"
"bna04371","Apelin signaling pathway"
"bna04380","Osteoclast differentiation"
"bna04390","Hippo signaling pathway"
"bna04391","Hippo signaling pathway - fly"
"bna04392","Hippo signaling pathway - multiple species"
"bna04510","Focal adhesion"
"bna04512","ECM-receptor interaction"
"bna04514","Cell adhesion molecules"
"bna04520","Adherens junction"
"bna04530","Tight junction"
"bna04540","Gap junction"
"bna04550","Signaling pathways regulating pluripotency of stem cells"
"bna04610","Complement and coagulation cascades"
"bna04611","Platelet activation"
"bna04612","Antigen processing and presentation"
"bna04613","Neutrophil extracellular trap formation"
"bna04614","Renin-angiotensin system"
"bna04620","Toll-like receptor signaling pathway"
"bna04621","NOD-like receptor signaling pathway"
"bna04622","RIG-I-like receptor signaling pathway"
"bna04623","Cytosolic DNA-sensing pathway"
"bna04624","Toll and Imd signaling pathway"
"bna04625","C-type lectin receptor signaling pathway"
"bna04626","Plant-pathogen interaction"
"bna04630","JAK-STAT signaling pathway"
"bna04640","Hematopoietic cell lineage"
"bna04650","Natural killer cell mediated cytotoxicity"
"bna04657","IL-17 signaling pathway"
"bna04658","Th1 and Th2 cell differentiation"
"bna04659","Th17 cell differentiation"
"bna04660","T cell receptor signaling pathway"
"bna04662","B cell receptor signaling pathway"
"bna04664","Fc epsilon RI signaling pathway"
"bna04666","Fc gamma R-mediated phagocytosis"
"bna04668","TNF signaling pathway"
"bna04670","Leukocyte transendothelial migration"
"bna04672","Intestinal immune network for IgA production"
"bna04710","Circadian rhythm"
"bna04711","Circadian rhythm - fly"
"bna04712","Circadian rhythm - plant"
"bna04713","Circadian entrainment"
"bna04714","Thermogenesis"
"bna04720","Long-term potentiation"
"bna04721","Synaptic vesicle cycle"
"bna04722","Neurotrophin signaling pathway"
"bna04723","Retrograde endocannabinoid signaling"
"bna04724","Glutamatergic synapse"
"bna04725","Cholinergic synapse"
"bna04726","Serotonergic synapse"
"bna04727","GABAergic synapse"
"bna04728","Dopaminergic synapse"
"bna04730","Long-term depression"
"bna04740","Olfactory transduction"
"bna04742","Taste transduction"
"bna04744","Phototransduction"
"bna04745","Phototransduction - fly"
"bna04750","Inflammatory mediator regulation of TRP channels"
"bna04810","Regulation of actin cytoskeleton"
"bna04910","Insulin signaling pathway"
"bna04911","Insulin secretion"
"bna04912","GnRH signaling pathway"
"bna04913","Ovarian steroidogenesis"
"bna04914","Progesterone-mediated oocyte maturation"
"bna04915","Estrogen signaling pathway"
"bna04916","Melanogenesis"
"bna04917","Prolactin signaling pathway"
"bna04918","Thyroid hormone synthesis"
"bna04919","Thyroid hormone signaling pathway"
"bna04920","Adipocytokine signaling pathway"
"bna04921","Oxytocin signaling pathway"
"bna04922","Glucagon signaling pathway"
"bna04923","Regulation of lipolysis in adipocytes"
"bna04924","Renin secretion"
"bna04925","Aldosterone synthesis and secretion"
"bna04926","Relaxin signaling pathway"
"bna04927","Cortisol synthesis and secretion"
"bna04928","Parathyroid hormone synthesis, secretion and action"
"bna04929","GnRH secretion"
"bna04930","Type II diabetes mellitus"
"bna04931","Insulin resistance"
"bna04932","Non-alcoholic fatty liver disease"
"bna04933","AGE-RAGE signaling pathway in diabetic complications"
"bna04934","Cushing syndrome"
"bna04935","Growth hormone synthesis, secretion and action"
"bna04936","Alcoholic liver disease"
"bna04940","Type I diabetes mellitus"
"bna04950","Maturity onset diabetes of the young"
"bna04960","Aldosterone-regulated sodium reabsorption"
"bna04961","Endocrine and other factor-regulated calcium reabsorption"
"bna04962","Vasopressin-regulated water reabsorption"
"bna04964","Proximal tubule bicarbonate reclamation"
"bna04966","Collecting duct acid secretion"
"bna04970","Salivary secretion"
"bna04971","Gastric acid secretion"
"bna04972","Pancreatic secretion"
"bna04973","Carbohydrate digestion and absorption"
"bna04974","Protein digestion and absorption"
"bna04975","Fat digestion and absorption"
"bna04976","Bile secretion"
"bna04977","Vitamin digestion and absorption"
"bna04978","Mineral absorption"
"bna04979","Cholesterol metabolism"
"bna05010","Alzheimer disease"
"bna05012","Parkinson disease"
"bna05014","Amyotrophic lateral sclerosis"
"bna05016","Huntington disease"
"bna05017","Spinocerebellar ataxia"
"bna05020","Prion disease"
"bna05022","Pathways of neurodegeneration - multiple diseases"
"bna05030","Cocaine addiction"
"bna05031","Amphetamine addiction"
"bna05032","Morphine addiction"
"bna05033","Nicotine addiction"
"bna05034","Alcoholism"
"bna05100","Bacterial invasion of epithelial cells"
"bna05110","Vibrio cholerae infection"
"bna05111","Biofilm formation - Vibrio cholerae"
"bna05120","Epithelial cell signaling in Helicobacter pylori infection"
"bna05130","Pathogenic Escherichia coli infection"
"bna05131","Shigellosis"
"bna05132","Salmonella infection"
"bna05133","Pertussis"
"bna05134","Legionellosis"
"bna05135","Yersinia infection"
"bna05140","Leishmaniasis"
"bna05142","Chagas disease"
"bna05143","African trypanosomiasis"
"bna05144","Malaria"
"bna05145","Toxoplasmosis"
"bna05146","Amoebiasis"
"bna05150","Staphylococcus aureus infection"
"bna05152","Tuberculosis"
"bna05160","Hepatitis C"
"bna05161","Hepatitis B"
"bna05162","Measles"
"bna05163","Human cytomegalovirus infection"
"bna05164","Influenza A"
"bna05165","Human papillomavirus infection"
"bna05166","Human T-cell leukemia virus 1 infection"
"bna05167","Kaposi sarcoma-associated herpesvirus infection"
"bna05168","Herpes simplex virus 1 infection"
"bna05169","Epstein-Barr virus infection"
"bna05170","Human immunodeficiency virus 1 infection"
"bna05171","Coronavirus disease - COVID-19"
"bna05200","Pathways in cancer"
"bna05202","Transcriptional misregulation in cancer"
"bna05203","Viral carcinogenesis"
"bna05204","Chemical carcinogenesis - DNA adducts"
"bna05205","Proteoglycans in cancer"
"bna05206","MicroRNAs in cancer"
"bna05207","Chemical carcinogenesis - receptor activation"
"bna05208","Chemical carcinogenesis - reactive oxygen species"
"bna05210","Colorectal cancer"
"bna05211","Renal cell carcinoma"
"bna05212","Pancreatic cancer"
"bna05213","Endometrial cancer"
"bna05214","Glioma"
"bna05215","Prostate cancer"
"bna05216","Thyroid cancer"
"bna05217","Basal cell carcinoma"
"bna05218","Melanoma"
"bna05219","Bladder cancer"
"bna05220","Chronic myeloid leukemia"
"bna05221","Acute myeloid leukemia"
"bna05222","Small cell lung cancer"
"bna05223","Non-small cell lung cancer"
"bna05224","Breast cancer"
"bna05225","Hepatocellular carcinoma"
"bna05226","Gastric cancer"
"bna05230","Central carbon metabolism in cancer"
"bna05231","Choline metabolism in cancer"
"bna05235","PD-L1 expression and PD-1 checkpoint pathway in cancer"
"bna05310","Asthma"
"bna05320","Autoimmune thyroid disease"
"bna05321","Inflammatory bowel disease"
"bna05322","Systemic lupus erythematosus"
"bna05323","Rheumatoid arthritis"
"bna05330","Allograft rejection"
"bna05332","Graft-versus-host disease"
"bna05340","Primary immunodeficiency"
"bna05410","Hypertrophic cardiomyopathy"
"bna05412","Arrhythmogenic right ventricular cardiomyopathy"
"bna05414","Dilated cardiomyopathy"
"bna05415","Diabetic cardiomyopathy"
"bna05416","Viral myocarditis"
"bna05417","Lipid and atherosclerosis"
"bna05418","Fluid shear stress and atherosclerosis"
"bna07011","Penicillins"
"bna07012","Cephalosporins - parenteral agents"
"bna07013","Cephalosporins - oral agents"
"bna07014","Quinolones"
"bna07015","Local analgesics"
"bna07016","Sulfonamide derivatives - sulfa drugs"
"bna07017","Sulfonamide derivatives - diuretics"
"bna07018","Sulfonamide derivatives - hypoglycemic agents"
"bna07019","Tetracyclines"
"bna07020","Macrolides and ketolides"
"bna07021","Aminoglycosides"
"bna07023","Rifamycins"
"bna07024","HMG-CoA reductase inhibitors"
"bna07025","Quinolines"
"bna07026","Antifungal agents"
"bna07027","Antidepressants"
"bna07028","Antipsychotics"
"bna07029","Antipsychotics - phenothiazines"
"bna07030","Anxiolytics"
"bna07031","Antipsychotics - butyrophenones"
"bna07032","Hypnotics"
"bna07033","Anticonvulsants"
"bna07034","Eicosanoids"
"bna07035","Prostaglandins"
"bna07036","Calcium channel blocking drugs"
"bna07037","Antiarrhythmic drugs"
"bna07038","Antiulcer drugs"
"bna07039","Opioid analgesics"
"bna07040","Antineoplastics - alkylating agents"
"bna07041","Antineoplastics - antimetabolic agents"
"bna07042","Antineoplastics - agents from natural products"
"bna07043","Antineoplastics - hormones"
"bna07044","Antiviral agents"
"bna07045","Antineoplastics - protein kinase inhibitors"
"bna07046","Immunosuppressive agents"
"bna07047","Osteoporosis drugs"
"bna07048","Antimigraines"
"bna07049","Antithrombosis agents"
"bna07050","Antirheumatics - DMARDs and biological agents"
"bna07051","Antidiabetics"
"bna07052","Antidyslipidemic agents"
"bna07053","Anti-HIV agents"
"bna07054","Antiglaucoma agents"
"bna07055","Sulfonamide derivatives - overview"
"bna07056","Agents for Alzheimer-type dementia"
"bna07057","Antiparkinsonian agents"
"bna07110","Benzoic acid family"
"bna07112","1,2-Diphenyl substitution family"
"bna07114","Naphthalene family"
"bna07117","Benzodiazepine family"
"bna07211","Serotonin receptor agonists/antagonists"
"bna07212","Histamine H1 receptor antagonists"
"bna07213","Dopamine receptor agonists/antagonists"
"bna07214","beta-Adrenergic receptor agonists/antagonists"
"bna07215","alpha-Adrenergic receptor agonists/antagonists"
"bna07216","Catecholamine transferase inhibitors"
"bna07217","Renin-angiotensin system inhibitors"
"bna07218","HIV protease inhibitors"
"bna07219","Cyclooxygenase inhibitors"
"bna07220","Cholinergic and anticholinergic drugs"
"bna07221","Nicotinic cholinergic receptor antagonists"
"bna07222","Peroxisome proliferator-activated receptor (PPAR) agonists"
"bna07223","Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists"
"bna07224","Opioid receptor agonists/antagonists"
"bna07225","Glucocorticoid and mineralocorticoid receptor agonists/antagonists"
"bna07226","Progesterone, androgen and estrogen receptor agonists/antagonists"
"bna07227","Histamine H2/H3 receptor agonists/antagonists"
"bna07228","Eicosanoid receptor agonists/antagonists"
"bna07229","Angiotensin receptor and endothelin receptor antagonists"
"bna07230","GABA-A receptor agonists/antagonists"
"bna07231","Sodium channel blocking drugs"
"bna07232","Potassium channel blocking and opening drugs"
"bna07233","Ion transporter inhibitors"
"bna07234","Neurotransmitter transporter inhibitors"
"bna07235","N-Methyl-D-aspartic acid (NMDA) receptor antagonists"
