external_gene_name	ENTREZID	GO	GENENAME	GOTERM	Description_Ensembl	Uniprot_ID	PANTHER_Family_name	PANTHER_SF_name	Description_NCBI	ALIAS	lfc_HeatStress_SAHA	lfc_PE_SAHA	Crep1	Crep2	Crep3	Trep1	Trep2	Trep3	VMrep1	VMrep2	VMrep3	PErep1	PErep2
BnaA01g15080D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  1.49	LFC PE-SAHA :  1.1	9.37193909103418	9.47269745194218	9.44371984766208	10.4993878645892	10.4677102578424	10.5840966952181	7.87669596910837	7.97321139171671	8.16631707454824	9.33668961368797	9.38222193479308
BnaA01g15250D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  1.5	LFC PE-SAHA :  1.34	6.50258725197891	6.25645972651222	5.84241550035593	6.60910879462789	7.59941513593483	7.71152882934403	6.41703209021367	5.69644414850313	4.70266167133581	6.58283270147855	6.95037475945698
BnaA01g16350D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  1.61	LFC PE-SAHA :  1.63	5.51687944411951	6.76175270180289	6.70288778197872	7.56118034943007	7.835187034064	8.19842468707117	4.45388078185714	4.6328107847857	4.52736744700907	4.89280995300096	5.37731669933522
BnaA01g17800D	NA	NA	NA	NA	L-lactate dehydrogenase	A0A078I074	L-2-HYDROXYCARBOXYLATE DEHYDROGENASE (NAD(P)(+))	L-LACTATE DEHYDROGENASE	NA	NA	LFC HeatStress-SAHA :  1.83	LFC PE-SAHA :  2.11	4.41551891949943	6.20264556109413	5.87795192863371	7.50027325949442	7.36109961832625	7.47011554296219	3.85355218784927	4.28914700621597	4.48880102006087	4.89280995300096	5.03758098694227
BnaA01g17910D	106437469	GO:0005975	glucan endo-1,3-beta-glucosidase 5	carbohydrate metabolic process	BnaA01g17910D protein	A0A078I1K9	GLUCAN ENDO-1,3-BETA-GLUCOSIDASE BG1-RELATED-RELATED	GLUCAN ENDO-1,3-BETA-D-GLUCOSIDASE	glucan endo-1,3-beta-glucosidase 5	LOC106437469	LFC HeatStress-SAHA :  1.27	LFC PE-SAHA :  3.71	3.04479714941578	5.5932884369366	5.21338590532718	7.87272264863671	8.19116793871835	7.98534123607758	5.93492705733305	5.7933045805633	5.32794354668751	6.12444219101656	6.43645606034016
BnaA01g18270D	NA	NA	NA	NA	BnaA01g18270D protein	A0A078GC18	LATE EMBRYOGENIS ABUNDANT PROTEIN 2-RELATED	LATE EMBRYOGENIS ABUNDANT PROTEIN 41	NA	NA	LFC HeatStress-SAHA :  1.08	LFC PE-SAHA :  2.1	9.54987243214913	9.03290038944786	8.90394497442931	11.0926749639386	11.0094286494093	11.6328869570785	8.99858685641712	9.3470767837617	9.13470277215372	9.72582198435088	9.95201510738019
BnaA01g19010D	NA	NA	NA	NA	BnaA01g19010D protein	A0A078GTH4	NEUROGENIC LOCUS NOTCH-LIKE PROTEIN	NEUROGENIC LOCUS NOTCH-LIKE PROTEIN	NA	NA	LFC HeatStress-SAHA :  2.08	LFC PE-SAHA :  1.94	6.94224930209169	7.73146605081917	7.84996643177999	9.74253570756716	9.17544912416038	9.2619525629508	5.75784738010619	5.28023476680943	5.36698586956566	6.78339810081955	7.00332280555751
BnaA01g19820D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  7.86	LFC PE-SAHA :  6.31	3.04479714941578	3.04479714941578	3.04479714941578	4.58877875510892	5.74251105713769	4.66274222845158	3.04479714941578	3.04479714941578	3.04479714941578	4.01490366466994	4.09871982702954
BnaA01g20190D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  8.07	LFC PE-SAHA :  6.46	3.04479714941578	3.04479714941578	3.04479714941578	5.35079009315009	4.797346481965	5.41060452239253	3.04479714941578	3.04479714941578	3.04479714941578	3.84172258378235	4.28151411933627
BnaA01g22760D	NA	NA	NA	NA	BnaA01g22760D protein	A0A078IDX4	BULB-TYPE LECTIN DOMAIN-CONTAINING PROTEIN	OS01G0783900 PROTEIN	NA	NA	LFC HeatStress-SAHA :  4.74	LFC PE-SAHA :  6.14	3.04479714941578	3.04479714941578	3.04479714941578	4.75303539713144	4.90428228517263	5.32687591895364	3.04479714941578	3.04479714941578	3.55830633970976	4.28261033607098	4.6913979205875
BnaA01g24630D	NA	NA	NA	NA	BnaA01g24630D protein	A0A078H8Y8	FCS-LIKE ZINC FINGER 8	BNAA01G24630D PROTEIN	NA	NA	LFC HeatStress-SAHA :  -2.14	LFC PE-SAHA :  -2.6	6.82739581948865	6.28261520141537	6.86870603450716	3.04479714941578	4.90428228517263	5.41060452239253	6.23318976119085	6.71086390275559	6.19293218162927	5.75445608747569	5.94085623273948
BnaA01g25360D	106345731	NA	NA	NA	BnaA01g25360D protein	A0A078HHT9	RNA-BINDING (RRM/RBD/RNP MOTIFS)	RNA-BINDING (RRM/RBD/RNP MOTIFS) FAMILY PROTEIN	zinc finger CCCH domain-containing protein 55	LOC106345731	LFC HeatStress-SAHA :  -1.71	LFC PE-SAHA :  -2.33	8.50840438703061	8.8888067392228	8.57836241893422	5.79534310209058	6.45000440662214	7.12110717857994	9.0253729513758	8.86536747936868	9.12790581342689	8.65729474073645	8.46840842386017
BnaA01g26110D	106379763	GO:0006357	transcription factor bHLH113	regulation of transcription by RNA polymerase II	BnaA01g26110D protein	A0A078IJH5	TRANSCRIPTION FACTOR BHLH83-RELATED	BHLH DOMAIN-CONTAINING PROTEIN	transcription factor bHLH113	LOC106379763	LFC HeatStress-SAHA :  3.59	LFC PE-SAHA :  3.89	4.85105787153702	4.04733681586305	3.04479714941578	6.40132268388882	6.75759367028528	7.10908282474564	3.56027631476723	3.04479714941578	3.04479714941578	4.01490366466994	3.04479714941578
BnaA01g26690D	NA	NA	NA	NA	BnaA01g26690D protein	A0A078FZU5	F2P16.13 PROTEIN-RELATED	BNAA01G26690D PROTEIN	NA	NA	LFC HeatStress-SAHA :  1.49	LFC PE-SAHA :  2.86	4.51695781958276	5.63519892633828	5.15473031937749	7.39264594358807	7.34371282734545	7.57857735322138	4.70846119009397	4.56517423546854	4.05639435022093	5.34542336145532	4.50544428117223
BnaA01g26770D	NA	NA	NA	NA	BnaA01g26770D protein	A0A078G1Q8	CRS1 / YHBY (CRM) DOMAIN-CONTAINING PROTEIN	CRS1 / YHBY (CRM) DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  -2.4	LFC PE-SAHA :  -2.26	8.07200801350894	7.25684572601042	7.43575165954039	5.1987678547941	5.87181445435467	6.02156797264957	8.58975421013445	8.62766960287584	8.48002819146368	7.40748108035725	7.24215281559816
BnaA01g27460D	NA	NA	NA	NA	BnaA01g27460D protein	A0A078HDU4	IMP2'P	USP DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  1.53	LFC PE-SAHA :  1.95	7.60054751736456	8.10955810513424	7.207810139001	9.67766787587906	9.48329479436281	9.51904052640329	6.47045114036316	5.68203223315322	5.45986846012673	6.83353171371135	7.06437787854666
BnaA01g27600D	NA	NA	NA	NA	BnaA01g27600D protein	A0A078HBZ9	CONDENSIN-2 COMPLEX SUBUNIT H2	CONDENSIN-2 COMPLEX SUBUNIT H2	NA	NA	LFC HeatStress-SAHA :  -1.65	LFC PE-SAHA :  -1.23	7.59055031552072	7.63425009121573	7.01725982592866	6.82400774536822	6.07795928101409	6.12183848729851	7.79594226015947	7.62552534744376	7.83320978422425	6.83353171371135	6.87279035621513
BnaA01g28600D	106349612	NA	NA	NA	BnaA01g28600D protein	A0A078G593	DAUER UP-REGULATED-RELATED	BNAA01G28600D PROTEIN	late embryogenesis abundant protein 76-like	LOC106349612	LFC HeatStress-SAHA :  6.67	LFC PE-SAHA :  4.13	4.41551891949943	4.72058515323672	3.04479714941578	6.79036626334093	7.30829429683089	7.13303144626727	3.41026001838346	3.04479714941578	3.04479714941578	4.01490366466994	3.04479714941578
BnaA01g30430D	NA	NA	NA	NA	BnaA01g30430D protein	A0A078IKX1	ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 14	RNA BINDING (RRM/RBD/RNP MOTIFS) FAMILY PROTEIN	NA	NA	LFC HeatStress-SAHA :  -1.21	LFC PE-SAHA :  -1.08	8.55021528191938	7.66411111516649	8.18518147923858	6.40132268388882	7.41203112045268	7.51630688047484	8.8298760543611	8.84974150380215	9.03504759912572	8.45439064990154	8.05891500726867
BnaA01g30700D	NA	NA	NA	NA	BnaA01g30700D protein	A0A078IKP1	ECA1 GAMETOGENESIS FAMILY PROTEIN (DUF784)-RELATED-RELATED	PROLAMIN_LIKE DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  7.28	LFC PE-SAHA :  6.45	3.04479714941578	3.04479714941578	3.04479714941578	4.49690024480517	5.62954001756049	5.23749873693364	3.04479714941578	3.04479714941578	3.04479714941578	3.61184319933665	3.86821440066085
BnaA01g31100D	106381711	NA	NA	NA	Protein yippee-like	A0A078HHN6	PROTEIN YIPPEE-LIKE CG15309-RELATED	PROTEIN YIPPEE-LIKE	protein yippee-like At3g11230	LOC106381711	LFC HeatStress-SAHA :  1.65	LFC PE-SAHA :  1.17	6.43668706347222	6.11785467681493	7.26168492705999	8.03168279744041	7.33493980656646	7.78878536925379	5.4310565379599	5.28023476680943	5.20337714065357	6.32595535879453	6.35687866820935
BnaA01g31100D	106433277	NA	NA	NA	Protein yippee-like	A0A078HHN6	PROTEIN YIPPEE-LIKE CG15309-RELATED	PROTEIN YIPPEE-LIKE	protein yippee-like At3g11230	LOC106433277	LFC HeatStress-SAHA :  1.65	LFC PE-SAHA :  1.17	6.43668706347222	6.11785467681493	7.26168492705999	8.03168279744041	7.33493980656646	7.78878536925379	5.4310565379599	5.28023476680943	5.20337714065357	6.32595535879453	6.35687866820935
BnaA01g32020D	NA	NA	NA	NA	BnaA01g32020D protein	NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  7.6	LFC PE-SAHA :  6.88	3.04479714941578	3.04479714941578	3.04479714941578	6.07552709098972	4.13184394342962	5.59958662611737	3.04479714941578	3.04479714941578	3.04479714941578	3.61184319933665	3.99147933683863
BnaA01g33060D	NA	NA	NA	NA	tRNA (guanine(26)-N(2))-dimethyltransferase	A0A078HB48	N 2 ,N 2 -DIMETHYLGUANOSINE TRNA METHYLTRANSFERASE	TRNA (GUANINE(26)-N(2))-DIMETHYLTRANSFERASE	NA	NA	LFC HeatStress-SAHA :  -1.46	LFC PE-SAHA :  -1.06	8.02085664853258	8.05804718647304	7.82338810251172	7.38142591157162	6.33063361201632	7.15658633644327	8.50556828039404	8.64225753223104	8.74818552436625	7.94303999555367	7.5355884783426
BnaA01g33760D	NA	NA	NA	NA	BnaA01g33760D protein	A0A078G3T7	NADPH-DEPENDENT ALDEHYDE REDUCTASE-LIKE PROTEIN, CHLOROPLASTIC-RELATED	RE15974P	NA	NA	LFC HeatStress-SAHA :  1.61	LFC PE-SAHA :  1.11	6.72101442813421	7.03060518854555	7.32630190441179	8.37445202129474	7.38679120796604	8.27017631433429	5.90911353405643	5.41032305495709	5.65972398528785	6.78339810081955	6.95037475945698
BnaA01g34470D	NA	NA	NA	NA	BnaA01g34470D protein	NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  4.8	LFC PE-SAHA :  4.27	4.30339488081255	3.04479714941578	3.04479714941578	6.13082714556215	5.3346560849428	6.0473171567211	3.56027631476723	3.39981898719491	3.04479714941578	4.01490366466994	4.74730179340286
BnaA01g34680D	NA	NA	NA	NA	BnaA01g34680D protein	A0A078JC94	CELL WALL INTEGRITY/STRESS RESPONSE COMPONENT-LIKE PROTEIN	BNAA01G34680D PROTEIN	NA	NA	LFC HeatStress-SAHA :  1.43	LFC PE-SAHA :  3.1	6.56556219958303	7.52998067191598	7.23500051430261	10.207759505085	10.1222481326491	10.0207431627026	5.77230388029955	5.17877813512661	5.22497602005914	6.17758970174361	6.18286219381419
BnaA01g34880D	NA	NA	NA	NA	Profilin	A0A078JQX9	PROFILIN	PROFILIN-1-RELATED	NA	NA	LFC HeatStress-SAHA :  1.4	LFC PE-SAHA :  1.19	9.90024989084788	9.92253787762342	10.0280470676459	11.1969120864773	10.9753460467015	11.2272841274371	8.62521540290035	8.56013282650795	8.65668554081734	9.79666606369988	9.61686979813112
BnaA01g36720D	NA	NA	NA	NA	BnaA01g36720D protein	A0A078J543	AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR	AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR PLT1	NA	NA	LFC HeatStress-SAHA :  -6.68	LFC PE-SAHA :  -8.13	6.3437613198929	6.47606577363892	5.6903522313404	3.04479714941578	3.04479714941578	3.04479714941578	5.25340931454813	4.75730598872782	4.60073029093545	5.24621052737432	4.99366397253993
BnaA01g37040D	NA	NA	NA	NA	BnaA01g37040D protein	A0A078J3W8	1-PHOSPHATIDYLINOSITOL 3-PHOSPHATE 5-KINASE-RELATED	1-PHOSPHATIDYLINOSITOL 3-PHOSPHATE 5-KINASE-RELATED	NA	NA	LFC HeatStress-SAHA :  -1.42	LFC PE-SAHA :  -1.29	9.38643330146604	8.38505274905341	8.27939925587838	7.84034787423589	7.38679120796604	7.43206231861954	9.24638630066325	9.35152116486079	9.34506960417325	8.52187026032076	8.50544875407006
BnaA02g00070D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  7.24	LFC PE-SAHA :  4.07	3.04479714941578	4.32304677386944	3.04479714941578	5.02662801530067	5.96721614532908	6.07260078737126	3.04479714941578	3.04479714941578	3.04479714941578	3.61184319933665	3.72009537967074
BnaA02g00080D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  6.88	LFC PE-SAHA :  6.88	3.04479714941578	3.04479714941578	3.04479714941578	5.92687782640343	5.53822099559702	4.73390548142239	3.04479714941578	3.04479714941578	3.04479714941578	3.61184319933665	3.52446393442785
BnaA02g01110D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  3.78	LFC PE-SAHA :  3.65	4.51695781958276	3.04479714941578	3.04479714941578	5.30203760858019	6.01257239684842	5.91353814228593	3.56027631476723	3.04479714941578	3.40885606564875	3.61184319933665	4.09871982702954
BnaA02g02230D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  1.27	LFC PE-SAHA :  1.03	9.23127833861166	9.12868439468518	9.1409939070686	10.1145040909035	10.2787343051377	10.1447773753158	7.43602724717476	7.23029862491141	7.2957670739045	8.57659988658288	8.00300162989561
BnaA02g04040D	NA	NA	NA	NA	BnaA02g04040D protein	A0A078IQ48	PROTEIN CUP-SHAPED COTYLEDON 2-RELATED	NAC DOMAIN-CONTAINING PROTEIN 87	NA	NA	LFC HeatStress-SAHA :  1.67	LFC PE-SAHA :  1.69	7.22721433104396	7.96521495769449	7.37597906626964	8.93388011048736	9.21652904935742	9.34093067376264	6.53033170990581	6.54885638973987	6.1716674199363	7.45081867531652	7.74234271236148
BnaA02g04290D	NA	NA	NA	NA	BnaA02g04290D protein	A0A078I667	THERMOSOME SUBUNIT GAMMA	THERMOSOME SUBUNIT GAMMA	NA	NA	LFC HeatStress-SAHA :  -3.29	LFC PE-SAHA :  -4.11	5.86155814760272	5.93112115045227	5.42489810117696	3.04479714941578	3.04479714941578	4.32259090777769	5.85600072023497	5.75262479699935	5.56347197548839	5.13887609165782	5.34362750664067
BnaA02g04590D	NA	NA	NA	NA	BnaA02g04590D protein	A0A078I6A3	TRANSDUCIN FAMILY PROTEIN / WD-40 REPEAT FAMILY PROTEIN	WD_REPEATS_REGION DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  -2.42	LFC PE-SAHA :  -3.02	6.48095903498307	7.0458417301746	6.91995838230023	4.82735061479956	3.04479714941578	5.23749873693364	6.43506314479872	6.12458524282632	6.35239614531701	5.95170925274327	5.62013751388939
BnaA02g04790D	106425790	GO:0009744	heptahelical transmembrane protein 1	response to sucrose	BnaA02g04790D protein	A0A078I4Z8	ADIPOR/PROGESTIN RECEPTOR-RELATED	BNAA02G04790D PROTEIN	heptahelical transmembrane protein 1	LOC106425790	LFC HeatStress-SAHA :  -1.67	LFC PE-SAHA :  -2.19	6.62586416288261	5.55004596154225	6.81554599270101	4.67379016929921	5.09402043261368	4.86466117792675	6.96077197996371	6.02643262494619	6.01304111582134	6.3721352879729	5.70105594197825
BnaA02g04790D	106425790	GO:0009725	heptahelical transmembrane protein 1	response to hormone	BnaA02g04790D protein	A0A078I4Z8	ADIPOR/PROGESTIN RECEPTOR-RELATED	BNAA02G04790D PROTEIN	heptahelical transmembrane protein 1	LOC106425790	LFC HeatStress-SAHA :  -1.67	LFC PE-SAHA :  -2.19	6.62586416288261	5.55004596154225	6.81554599270101	4.67379016929921	5.09402043261368	4.86466117792675	6.96077197996371	6.02643262494619	6.01304111582134	6.3721352879729	5.70105594197825
BnaA02g05290D	NA	NA	NA	NA	BnaA02g05290D protein	A0A078FB79	EUKARYOTIC TRANSLATION INITIATION FACTOR 2C	PROTEIN ARGONAUTE 9	NA	NA	LFC HeatStress-SAHA :  -1.73	LFC PE-SAHA :  -2.34	10.5156920838349	9.87021004119801	10.1909193234844	8.05302362290267	7.90787882042091	7.91129092445648	10.3090712831677	10.4109827966785	10.5663174858702	10.0319676246573	9.6353609781536
BnaA02g07950D	NA	NA	NA	NA	BnaA02g07950D protein	A0A078H7A1	TRANSCRIPTION FACTOR BHLH83-RELATED	BHLH DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  4.05	LFC PE-SAHA :  7.61	3.04479714941578	3.04479714941578	3.04479714941578	6.20989506852076	6.21961903853805	5.5271335276181	3.56027631476723	3.04479714941578	3.04479714941578	3.84172258378235	3.86821440066085
BnaA02g08340D	NA	NA	NA	NA	Auxin efflux carrier component	A0A078G5P9	AUXIN EFFLUX CARRIER COMPONENT 1B-RELATED	AUXIN EFFLUX CARRIER COMPONENT	NA	NA	LFC HeatStress-SAHA :  6.74	LFC PE-SAHA :  4	3.04479714941578	4.5394543368795	3.04479714941578	6.54990282273578	5.7956938027163	5.70151747943004	3.04479714941578	3.39981898719491	3.04479714941578	4.01490366466994	4.28151411933627
BnaA02g08820D	NA	NA	NA	NA	BnaA02g08820D protein	A0A078G6X1	HEAT SHOCK PROTEIN 90 FAMILY MEMBER	BNAA02G35440D PROTEIN	NA	NA	LFC HeatStress-SAHA :  -1.08	LFC PE-SAHA :  -1.26	10.5788895575665	10.4729320301179	10.0961576478093	9.19274950052495	9.39132064776235	8.85511045988272	11.3100247072428	10.7499809703076	10.6620924306466	10.7095730161932	10.4081032757753
BnaA02g08870D	NA	NA	NA	NA	BnaA02g08870D protein	A0A078G6X5	FASCICLIN-LIKE ARABINOGALACTAN PROTEIN	BNAA02G08870D PROTEIN	NA	NA	LFC HeatStress-SAHA :  2.92	LFC PE-SAHA :  2.35	4.41551891949943	5.96403028767102	5.21338590532718	7.50027325949442	7.06458990787557	7.0347361357612	4.17450032599108	4.1945736584361	4.11515593331477	5.13887609165782	5.59206287116604
BnaA02g11550D	NA	NA	NA	NA	BnaA02g11550D protein	A0A078FTE1	RETINOL DEHYDROGENASE-RELATED	11-BETA-HYDROXYSTEROID DEHYDROGENASE-LIKE 6	NA	NA	LFC HeatStress-SAHA :  4.1	LFC PE-SAHA :  5.14	3.62182492860105	4.72058515323672	3.04479714941578	8.05302362290267	6.2002355677753	7.62988555584606	3.6744812220619	3.74960391636016	3.40885606564875	5.13887609165782	4.36157273551113
BnaA02g11920D	NA	NA	NA	NA	BnaA02g11920D protein	A0A078FVE7	NUCLEOLIN	NUCLEOLIN	NA	NA	LFC HeatStress-SAHA :  3.35	LFC PE-SAHA :  1.87	4.85105787153702	5.8274403404224	6.32457129898938	6.2602413258656	7.90195945624668	7.46069633434696	3.04479714941578	3.65666953670018	3.55830633970976	4.28261033607098	4.1944909063026
BnaA02g12540D	NA	NA	NA	NA	BnaA02g12540D protein	A0A078FHE6	S-ADENOSYL-L-METHIONINE:CARBOXYL METHYLTRANSFERASE FAMILY PROTEIN	BNAA02G12540D PROTEIN	NA	NA	LFC HeatStress-SAHA :  -3.3	LFC PE-SAHA :  -2.87	6.72101442813421	5.41134419540304	6.01165083914649	3.84390571841395	3.04479714941578	5.14157668702812	7.03909994266733	6.36595934010236	5.65972398528785	5.56530273407763	5.19957053542378
BnaA02g13630D	NA	NA	NA	NA	BnaA02g13630D protein	A0A078FE95	WRKY TRANSCRIPTION FACTOR 36-RELATED	WRKY TRANSCRIPTION FACTOR 9-RELATED	NA	NA	LFC HeatStress-SAHA :  -1.48	LFC PE-SAHA :  -2.1	6.19179491850798	6.52056457672668	7.47045636401568	5.7604073091748	4.90428228517263	4.86466117792675	6.92312119236897	6.83733320376921	7.04092648423213	6.58283270147855	6.49704814592893
BnaA02g13770D	NA	NA	NA	NA	BnaA02g13770D protein	A0A078I218	DNAJ DOMAIN (PROKARYOTIC HEAT SHOCK PROTEIN)	J DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  3.02	LFC PE-SAHA :  6.32	3.04479714941578	3.04479714941578	3.04479714941578	5.72456224388293	4.68001533912974	4.66274222845158	4.06016227015429	3.83089400393818	3.40885606564875	5.02180883357318	4.57086062586785
BnaA02g13890D	NA	NA	NA	NA	BnaA02g13890D protein	A0A078I6X8	DNA BINDING PROTEIN-LIKE	HELITRON_LIKE_N DOMAIN-CONTAINING PROTEIN	NA	NA	LFC HeatStress-SAHA :  7.28	LFC PE-SAHA :  6.38	3.04479714941578	3.04479714941578	3.04479714941578	5.25141760919298	5.17926036140153	5.03796131867148	3.04479714941578	3.04479714941578	3.04479714941578	3.04479714941578	3.99147933683863
BnaA02g14630D	NA	NA	NA	NA	BnaA02g14630D protein	A0A078IH91	SPR1	PROTEIN SPIRAL1-LIKE 1-RELATED	NA	NA	LFC HeatStress-SAHA :  1.75	LFC PE-SAHA :  1.81	5.64166618319448	5.89741442911866	3.87428426978979	6.46691492915926	6.97695116866417	6.92918907693978	4.32372755123274	4.41624494445414	4.52736744700907	5.29674830552282	4.99366397253993
BnaA02g15580D	NA	NA	NA	NA		NA	NA	NA	NA	NA	LFC HeatStress-SAHA :  4.33	LFC PE-SAHA :  6.8	3.04479714941578	3.04479714941578	3.04479714941578	5.30203760858019	5.74251105713769	5.19042063166432	3.04479714941578	3.65666953670018	3.04479714941578	4.15835430811467	4.09871982702954
